,metric,score,algorithm,config_idx,execution_time,signal_idx
172,ses-recall_0.54,0.9213732004429679,BasePersistentPattern,0,105.15981888771057,0
173,ses-fscore_0.54,0.9351742048754312,BasePersistentPattern,0,105.15981888771057,0
174,ses-precision_0.55,0.9482948294829483,BasePersistentPattern,0,105.15981888771057,0
175,ses-recall_0.55,0.920265780730897,BasePersistentPattern,0,105.15981888771057,0
176,ses-fscore_0.55,0.9340700824441815,BasePersistentPattern,0,105.15981888771057,0
177,ses-precision_0.56,0.9471947194719472,BasePersistentPattern,0,105.15981888771057,0
178,ses-recall_0.56,0.920265780730897,BasePersistentPattern,0,105.15981888771057,0
179,ses-fscore_0.56,0.9335360913115466,BasePersistentPattern,0,105.15981888771057,0
180,ses-precision_0.57,0.9460946094609461,BasePersistentPattern,0,105.15981888771057,0
181,ses-recall_0.57,0.9180509413067552,BasePersistentPattern,0,105.15981888771057,0
182,ses-fscore_0.57,0.9318618349550793,BasePersistentPattern,0,105.15981888771057,0
183,ses-precision_0.58,0.944994499449945,BasePersistentPattern,0,105.15981888771057,0
184,ses-recall_0.58,0.9158361018826136,BasePersistentPattern,0,105.15981888771057,0
185,ses-fscore_0.58,0.9301868510298413,BasePersistentPattern,0,105.15981888771057,0
186,ses-precision_0.59,0.944994499449945,BasePersistentPattern,0,105.15981888771057,0
187,ses-recall_0.59,0.9147286821705426,BasePersistentPattern,0,105.15981888771057,0
188,ses-fscore_0.59,0.9296153123036781,BasePersistentPattern,0,105.15981888771057,0
189,ses-precision_0.6,0.944994499449945,BasePersistentPattern,0,105.15981888771057,0
